"H1"||"H"||1||0|||41|||||0|0|0|0|0|0|100|100|100|95|97.5|100|85|90|95|70|77.5|85||14|||0.1|||0.4|||1|||4|||8.5|||71||||||||10|15|20||||3|4|5||||1.2|1.3|1.4|||||1.36|||4|9|14|0.19|0.2|0.21|||||27.7|||12.5|||45||0|1.5|2.9|25|27.5|30|0|2.5|5|0|1|4|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0|0|10|15|20|||||||5.6|6.1|6.5|||||||||||||||||||||||||||||||||"61750:75480"|"61750:158016"
"H2"||"H"||2||41|||96|||||0|0|0|0|0|0|100|100|100|100|100|100|95|97.5|100|85|90|95||7.1|||0.4|||0.6|||1|||2.2|||2.9|||65.4||||||||20|27.5|35||||0.5|1.75|3||||1.2|1.3|1.4|||||1.48|||4|9|14|0.19|0.2|0.21|||||30.6|||16.3|||47||3|4.5|5.9|30|35|40|10|15|20|7|13|20|".43"|".43"|0|0|0|0|0|0|0|0|0|0|0|0|10|15|20|||||||5.6|6.1|6.5|||||||||||||||||||||||||||||||||"61750:75480"|"61750:158017"
"H3"||"H"||3||96|||152|||||0|0|0|0|0|0|100|100|100|100|100|100|95|97.5|100|80|85|90||9.5|||0|||0|||0.2|||2.6|||6.7|||68||||||||15|22.5|30||||0|0.25|0.5||||1.3|1.4|1.5|||||1.46|||0.42|0.91|1.4|0.19|0.2|0.21|||||28.2|||12.9|||44||0|1.5|2.9|25|30|35|5|7.5|10|2|5|9|".43"|".43"|0|0|0|0|0|0|0|0|0|0|0|0|10|12.5|15|||||||5.6|6.1|6.5|||||||||||||||||||||||||||||||||"61750:75480"|"61750:158018"
"H1"||"H"||1||0|||38|||||0|0|0|0|0|0|100|100|100|100|100|100|95|97.5|100|80|87.5|95||21.2|||0.1|||0.4|||1.2|||5.9|||13.6|||68.8||||||||5|10|15||||5|7.5|10||||1.2|1.3|1.4|||||1.36|||4|9|14|0.2|0.21|0.22|||||29.4|||14.6|||45||0|1.5|2.9|20|25|30|0|2.5|5|0|1|5|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0|0|10|17.5|25|||||||5.6|6.1|6.5|||||||||||||||||||||||||||||||||"61614:74934"|"61614:156485"
"H2"||"H"||2||38|||107|||||0|0|0|0|0|0|100|100|100|100|100|100|95|97.5|100|75|82.5|90||21.2|||0.1|||0.4|||1.2|||5.9|||13.6|||68.8||||||||5|10|15||||2|2.5|3||||1.3|1.4|1.5|||||1.46|||4|9|14|0.19|0.2|0.21|||||24.8|||9|||43||0|1.5|2.9|20|25|30|0|2.5|5|0|0|4|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0|0|5|7.5|10|||||||6.1|6.7|7.3|||||||||||||||||||||||||||||||||"61614:74934"|"61614:156486"
"H3"||"H"||3||107|||152|||||0|0|0|0|0|0|100|100|100|100|100|100|65|70|75|20|27.5|35||68.5|||5.2|||14|||17|||20.4|||11.9|||24||||||||5|7.5|10||||0|0.5|1||||1.3|1.4|1.5|||||1.46|||14|28|42|0.12|0.14|0.15|||||14.2|||4.9|||44||0|1.5|2.9|0|7|14|0|0|0|0|0|0|".24"|".24"|0|0|0|0|0|0|0|0|0|0|0|0|2|3.5|5|||||||6.1|6.7|7.3|||||||||||||||||||||||||||||||||"61614:74934"|"61614:156487"
"H1"||"H"||1||0|||10|||||0|0|0|0|8|15|65|72.5|80|60|67.5|75|50|62.5|75|35|42.5|50||39.8|||3.5|||5|||6.9|||12.5|||11.9|||37.7||||||||18|22.5|27||||4|6|8||||0.85|0.9|0.95|||||0.95|||14|28|42|0.16|0.18|0.2|||||23.4|||10.8|||37||0|1.5|2.9|30|35|40|5|7.5|10|0|0|3|".15"|".24"|0|0|0|0|0|0|0|0|0|0|0|0|40|50|60|||||||5.1|5.6|6|||||||||||||||||||||||||||||||||"61641:75031"|"61641:156740"
"H2"||"H"||2||10|||38|||||0|0|0|0|8|15|65|83|100|60|78|95|50|68|85|35|55|75||39.8|||3.5|||5|||6.9|||12.5|||11.9|||37.7||||||||18|22.5|27||||2|3.5|5||||0.85|0.9|0.95|||||0.95|||4|9|14|0.18|0.21|0.24|||||23.5|||9.7|||44||0|1.5|2.9|30|35|40|5|7.5|10|0|2|8|".24"|".28"|0|0|0|0|0|0|0|0|0|0|0|0|10|15|20|||||||5.1|5.3|5.5|||||||||||||||||||||||||||||||||"61641:75031"|"61641:156741"
"H3"||"H"||3||38|||132|||||0|0|0|0|15|30|60|78|95|55|73|90|45|63|80|35|47.5|65||39.1|||3.5|||4.9|||6.8|||12.3|||11.6|||36.9||||||||18|24|30||||0.1|1.05|2||||0.85|0.9|0.95|||||0.95|||4|9|14|0.12|0.16|0.2|||||21|||7.9|||38||0|1.5|2.9|35|40|45|5|7.5|10|0|1|6|".24"|".28"|0|0|0|0|0|0|0|0|0|0|0|0|10|12.5|15|||||||5.1|5.3|5.5|||||||||||||||||||||||||||||||||"61641:75031"|"61641:156742"
"H4"||"H"||4||132|||157||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"61641:75031"|"61641:156743"
