819|"10782"|"61622"|"111981"
819|"10783"|"61622"|"112138"
8279|"10782"|"61623"|"111982"
8279|"10783"|"61623"|"112139"
3671|"10782"|"61624"|"111983"
3671|"10783"|"61624"|"112140"
1006|"10782"|"61625"|"111984"
1006|"10783"|"61625"|"112141"
3534|"10782"|"61626"|"111985"
3534|"10783"|"61626"|"112142"
2615|"10782"|"61627"|"111986"
2615|"10784"|"61627"|"112237"
808|"10782"|"61628"|"111987"
808|"10784"|"61628"|"112238"
247|"10782"|"61629"|"111988"
247|"10783"|"61629"|"112143"
5772|"10782"|"61630"|"111989"
5772|"10783"|"61630"|"112144"
13811|"10782"|"61631"|"111941"
13811|"10783"|"61631"|"112107"
13051|"10782"|"61632"|"111942"
13051|"10783"|"61632"|"112108"
8732|"10782"|"61633"|"111943"
8732|"10783"|"61633"|"112109"
3384|"10782"|"61634"|"111944"
3384|"10783"|"61634"|"112110"
5943|"10782"|"61635"|"111945"
5943|"10783"|"61635"|"112111"
3322|"10782"|"61636"|"111990"
3322|"10783"|"61636"|"112145"
3595|"10782"|"61637"|"111991"
3595|"10783"|"61637"|"112146"
690|"10782"|"61749"|"112094"
690|"10783"|"61749"|"112221"
3122|"10782"|"61750"|"112095"
3122|"10783"|"61750"|"112222"
13278|"10782"|"61751"|"112096"
13278|"10783"|"61751"|"112223"
5545|"10782"|"61752"|"112097"
5545|"10783"|"61752"|"112224"
12889|"10782"|"61753"|"112098"
12889|"10783"|"61753"|"112225"
1717|"10782"|"61754"|"112099"
1717|"10783"|"61754"|"112226"
5577|"10782"|"61755"|"112100"
5577|"10784"|"61755"|"112267"
3652|"10782"|"61756"|"112101"
3652|"10784"|"61756"|"112268"
380|"10782"|"61757"|"112102"
380|"10784"|"61757"|"112269"
13030|"10782"|"61758"|"112103"
13030|"10784"|"61758"|"112270"
5393|"10782"|"61759"|"111955"
5393|"10784"|"61759"|"112233"
6160|"10782"|"61760"|"111956"
6160|"10784"|"61760"|"112234"
5373|"10782"|"61614"|"111975"
5373|"10783"|"61614"|"112132"
16082|"10782"|"61615"|"111939"
16082|"10783"|"61615"|"112105"
12496|"10782"|"61616"|"111940"
12496|"10783"|"61616"|"112106"
3729|"10782"|"61617"|"111976"
3729|"10783"|"61617"|"112133"
981|"10782"|"61761"|"111957"
981|"10784"|"61761"|"112235"
8979|"10782"|"61762"|"112104"
8979|"10783"|"61762"|"112227"
667|"10782"|"61638"|"111992"
667|"10784"|"61638"|"112239"
768|"10782"|"61720"|"112069"
768|"10783"|"61720"|"112199"
1594|"10782"|"61717"|"112066"
1594|"10784"|"61717"|"112262"
630|"10782"|"61718"|"112067"
630|"10784"|"61718"|"112263"
4965|"10782"|"61723"|"112072"
4965|"10783"|"61723"|"112202"
6266|"10782"|"61724"|"112073"
6266|"10783"|"61724"|"112203"
5693|"10782"|"61725"|"112074"
5693|"10783"|"61725"|"112204"
2857|"10782"|"61726"|"112075"
2857|"10783"|"61726"|"112205"
375|"10782"|"61727"|"112076"
375|"10783"|"61727"|"112206"
2014|"10782"|"61728"|"111951"
2014|"10783"|"61728"|"112112"
452|"10782"|"61729"|"112077"
452|"10783"|"61729"|"112207"
2898|"10782"|"61730"|"112078"
2898|"10783"|"61730"|"112208"
